review_number,review
1,"Excellent food, great atmosphere, a bit noisy.  $$"
2,"If you enjoy a little people watching with your dining, sit out on the outside terrace and watch Las Vegas tourist walk the strip as they celebrate their winnings or rave about the fabulous Bellagio fountains.  As the restaurant is directly across from the fountains, it is also a great place to dine while taking in the free show.   The food fits the setting, with a traditional French menu infused with a bit of Vegas penache.   We had excellent service..polite, prompt, helpful (great at helping us pick a great wine suited to our selections!) and personal.   And by the way,   the wait staff aren't above snapping that great snapshot of you and your guest having a good time....it is great to be a tourist!"
3,"affordable, fairly classic french foodsit outside if you like to people watchor see the bellagio fountain showvery reminiscent of paris(on steroids!)"
4,"Though heartbroken and a bit aimless on my 22nd birthday, a meal at Mon Ami Gabi really helped cheer me up.I imagine that if you go there relatively happy, you'd really enjoy yourself!"
5,"The food and wine was amazing, but the super high price is going to make this a 4-star.  Although I must admit that the price was a direct result of ordering numerous glasses of wine rather than a bottle.  Dumb.  But it was the best meal we had in Vegas, so call it a 4.5"
6,"Yippy!  Make-your-own bloody mary bar! Chose the vodka and go to town.  They have recipies to help you out if you need it.  We tried Mon Ami Gabi for Sunday brunch.  First off, I loved eating in the atrium (light, airy and classic), and probably prefered it to eating outside (who wants to feel like they're right on the strip amidst icky large groups and las vegas grime while spending a bit for brunch?).  Secondly, the service was OUTSTANDING.  The waitress even put in a special request for a specific  crepe filling not on the menu (the kitchen made it- smoked salmon, egg and jack cheese if you're curious).  Crepes were enormous and delicious (just too bad I couldn't lug a doggie bag around with me all day).  Not too expensive ($50 with tax and tip and champagne) .Yumyumyum. Will definatley go again."
7,"I went here for a team function on one of the evening's of my company's sales conference.  The place was a little crowded and dim but it was a festive and enjoyable experience.The waiter was great and definitely made the experience better.  We shared 6 bottles of wine, 5 appetizers, and 3 salads.  I am not a big fan of pate, but you definitely have to try it here.  The Mon Ami Shrimp Gabi wasn't quite as good as advertised, but I loved the scallops.One of the special's of the day was Beef Wellington, and basically I made up my mind right there.  Half of the group did the same.  The dish was in a nice wine reduction mushroom sauce and sauteed spinach.  The crust was flakey and the beef was melt-in-your-mouth tender.The price was a bit steep, but hey it's Vegas.  I don't particularly like the Paris hotel and casion, but I'd definitely come to Mon Ami Gabi again."
8,"An affordable dining experience in Paris, I mean Vegas.  Location was built out perfectly to the French theme.  They had tasty appetizers with the country pate and the garlic simmered shrimp.  The burger was cooked well with a large amount of fries.  The bread that they serve before the meal can be, ""cut the top of your mouth hard"" so be careful.  A local recommended the french onion soup, but I totally forgot to get that.  Great views if you get the outdoor seating!"
9,"Definitely one of my favorites on the Strip! I've been here several times and it has never disappointed! The food here is wonderful as well as the service.  Their steaks are fabulous, as well as their seafood.  Worth a visit if you've never been!"
10,"What great friends I have..... We ate at Mon Ami Gabi translation (My friend Gabi) last Sat. night.  It was awesome!  It is located in the (wait for it..... Paris Hotel).  What more can a grl who loves Paris ask for?  Me and my 6 grl friends had a delicious array of cocktails, appetizers, and entrees that would make any American say Oh La La!  C'est Bon N'est Pas?  I had the Dijon crusted salmon and I couldn't stop eating once I got full. I had to beg the waiter to take my plate.  To top it off we got a round of creme brulee and chocolate mousse (Ma favorite!).  Sa delicieux!  The atmosphere on in the cafe and the outside terrace was spectacular.... Especially when you have a front seat row to the Bellagio light show.  Sa Magnifique!  Je serai retourner bientot!"
11,Very good. There is a bunch of tourist trap bullshit in Vegas. This is not it. The food is fantastic for the price. The bloody mary bar is a lot of fun. Definitely recommended.
12,Mon Ami Gabi(Paris hotel) The restaurant is nice but you'll want tobe either on the patio or at one of the window seats as that is thetrue charm here. They have taken full advantage of the fountainsacross the street at the Bellagio and this is a great viewing site.Thefood is excellent and price wise compares with other steakhousesin town. The steaks are served with FRITES which can best bedescribed as flat french fries. Beware the bleu cheese new yorksteak as it is loaded with bleu which tended to drown the flavor ofan excellent steak. The butter enhanced steaks seem to be afavorite and I enjoyed that as well. Nice romantic and worth a datenight. Again it is to your advantage to be able to view the fountainsotherwise this is just another restaurant. AuRevoir
13,"Overall, a great restaurant! Not too overpriced- of course price will depend on your hunger, pocket and taste. This is perhaps the only restaurant that allows you to sit outside & view the beautiful Bellagio Musical Fountain show (every 15 minutes or so), while enjoying fine gourmet French-American cuisine.I'd give it 5 stars, except for the following few reasons:1. it is slightly on the noisy side (being on the busy 10-lane Las Vegas Blvd S)2. It takes more than an hour to get seated outside, due to the popularity.3. Some of the waiters are not very friendly or personable. Especially this one guy called Kareem: he is too moody for a waiter at a French restaurant. And unpredictable... He snapped at me in a very unkind way for simply telling him we're ready to order ""why- are you in a hurry?"" No, I am not in a hurry, but we waited over 80 minutes to sit here! ""Well I have so many customers before you"". I guess you must be overworked, Kareem- but it is none of my business. As far as I am concerned, you still need to treat me as a valued customer! I don't deserve to be given attitude in front of my lady. At a restaurant that costs $60 or more per person...Other than that... highly recommended!Our favorites here are:- Escargots Bernaise- Warm baguette bread- Delicious ""Market Salad"" with fresh tomatoes- Belgian Endive Salad (with blue cheese and pears).- Steak au Poivre (peppercorn wine sauce)- prepared medium- Red wine from Burgundy (around $7.50 per glass) sorry cannot recall the name :) - goes so well with the meat!- Creme Brulee - amazing- Tarte Tatin - apple & cinnamon- but ummm, so yummy, so warm, so sensual. Not your average apple cobbler!"
14,"Do they have to have frites with every entree? And the frites, pretty standard. Cheap by vegas standards for food .Decent view of Bellagio fountain show. You will be sorely disappointed if you expect this place to be a decent French bistro."
15,"This is a great place for brunch -- we ended up coming here 2 days in a row!  The belgian waffles with nutella are to die for, and the smoked salmon quiche is amazing.  They also have a great bloody mary bar and a bellini/mimosa cart."
16,Slightly noisy but great food in Vegas at a very reasonable price.  The steaks were great and the appetizers were a bit heavy but it's French cuisine after all.  Sitting outside is great but hard to get on a weekend night.  Make a reservation on Opentable before you go to Vegas and you'll have no problem.Wine list was fairly extensive but we stuck to drinks and the bartender certainly didn't skimp on the drinks.  One of the better finds in Vegas.
17,i had a very rare medium rare fillet mignon here but the rareness was good because it gave the frites some nice flavor. good people watching i got to see a bunch of people eat it on the sidewalk out front those cooling sprinklers provide the perfect amount of moisture on the sidewalk below to make folks feet slide right out from under them good times
